,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
85,新复仇者v3,Marvel Comics ,https://mhfm1tel.cdndm5.com/12/11501/20150326113530_180x240_24.jpg,先以光照会为开头。,完结,第33话 ,https://www.dm5.com/manhua-xinfuchouzhe-v-3/
86,金刚狼&美国队长：武器强化计划,Marvel Comics  ,https://mhfm4tel.cdndm5.com/52/51784/20190714230938_180x240_22.jpg,武器强化计划，即创造了美国队长的“重生计划”及其后众多...,完结,第1话 ,https://www.dm5.com/manhua-jinganglang-meiguoduichang-wuqiqianghuajihua/
87,蝙蝠侠：诅咒,DC Comics ,https://mhfm4tel.cdndm5.com/46/45247/20180919211651_180x240_18.jpg,来自黑标系列的第一个新故事，开头看似简单却是一个惊天动...,完结,第3话 ,https://www.dm5.com/manhua-bianfuxia-zuzhou/
88,love,magnetic Press  ,https://mhfm5tel.cdndm5.com/42/41641/20180416230300_180x240_19.jpg,love漫画 ，Magnetic Press出品的love系列漫画,完结,狐狸 ,https://www.dm5.com/manhua-love/
89,Iron man,Marvel Comics ,https://mhfm3tel.cdndm5.com/14/13171/13171_b.jpg,Iron man漫画 ，托尼·斯塔克钢铁侠：有远见的技术员、富有...,完结,外传：1 年刊,https://www.dm5.com/manhua-iron-man/
90,少年泰坦Go！,DC Comics ,https://mhfm2tel.cdndm5.com/7/6429/20161108102017_180x240_36.jpg,“少年泰坦”与鼎鼎大名的“蝙蝠侠”和“超人”一样，都属...,完结,第55话 ,https://www.dm5.com/manhua-shaoniantaitan-go/
91,变形金刚：黑暗塞博特恩,IDW ,https://mhfm7tel.cdndm5.com/15/14674/20180205092540_180x240_24.jpg,黑暗塞博特恩漫画 ，IDW公司出品，2013年最新主线故事。将...,完结,第12话 最终章 尘埃落定,https://www.dm5.com/manhua-bianxingjingang-heiansaiboteen/
92,蝙蝠侠传说-往日奇案,DC Comics ,https://mhfm7tel.cdndm5.com/58/57440/20200212100728_180x240_20.jpg,本刊出自《小小哥谭》系列原班人马之手，通过四段风格各异...,完结,第1卷 ,https://www.dm5.com/manhua-bianfuxiachuanshuo-wangriqian/
93,小丑,DC Comics ,https://mhfm6tel.cdndm5.com/9/8771/8771.jpg,"小丑自精神病院释放,发现曾经的手下将他的地盘蚕食殆尽.......",完结,第1卷 ,https://www.dm5.com/manhua-xiaochou/
94,恶棍之年-被感染者,DC Comics ,https://mhfm7tel.cdndm5.com/55/54625/20191107164310_180x240_26.jpg,被感染的比利开始了自己的伟业——残害这世上的神明，而察...,完结,局长 ,https://www.dm5.com/manhua-egunzhinian-beiganranzhe/
95,丧尸英雄3,Marvel Comics ,https://mhfm7tel.cdndm5.com/9/8865/8865.jpg,变异人与人类之间的矛盾一直存在。万磁王为了找到人类的弱...,完结,第4话 ,https://www.dm5.com/manhua-sangshiyingxiong-3/
96,变形金刚：汽车人的黎明风刃,IDW ,https://mhfm2tel.cdndm5.com/16/15548/20180211110953_180x240_22.jpg,变形金刚 汽车人的黎明 风刃漫画 ，IDW公司出品，2014年最...,完结,第4话 ,https://www.dm5.com/manhua-bxjgqcrdlmfr/
97,战神奎托斯,黑马文  Chris Roberson  ,https://mhfm2tel.cdndm5.com/48/47735/20190131141856_180x240_15.jpg,战神奎托斯漫画 ，战神官方漫画，奎托斯和他的儿子被神秘的...,完结,第4话 ,https://www.dm5.com/manhua-zhanshenkuituosi/
98,变形金刚：斗转星移,IDW  ,https://mhfm9tel.cdndm5.com/33/32155/20161002172655_180x240_22.jpg,变形金刚：斗转星移漫画 ，“变形金刚们刚刚向地球宣战了。...,完结,特刊 ,https://www.dm5.com/manhua-bianxingjingang-douzhuanxingyi/
99,美国黑死神,John Paul Leon  ,https://mhfm5tel.cdndm5.com/58/57072/20200126121904_180x240_24.jpg,2016年艾斯纳最佳短篇提名.基于一战期间黑人士兵的真实经历...,完结,第1话 ,https://www.dm5.com/manhua-meiguoheisishen/
100,终极X战警,Marvel Comics ,https://mhfm4tel.cdndm5.com/10/9370/20180903193619_180x240_23.jpg,在一开始时，异变人是被巨型机械人Sentinels所追捕的，而X-...,完结,终极X战警与终极神奇四侠年刊01 ,https://www.dm5.com/manhua-zhongji-x-zhanjing/
101,毒液公司,Marvel Comics  ,https://mhfm5tel.cdndm5.com/40/39701/20171210001635_180x240_14.jpg,最近共生体家族诸事不利，先是我们的闪电失去他的共生体；...,完结,第6话 ,https://www.dm5.com/manhua-duyegongsi/
102,神族,image ,https://mhfm8tel.cdndm5.com/48/47984/20190213152152_180x240_19.jpg,《神族》第一期，在德尔菲，一位名叫塞涅卡的鉴识科探员卷...,完结,第6话 ,https://www.dm5.com/manhua-shenzu/
103,兽兵卫忍风帖,Wildstorm ,https://mhfm1tel.cdndm5.com/36/35706/20170321211809_180x240_20.jpg,欢迎观看兽兵卫忍风帖漫画：兽兵卫打败冰室玄马之后他的旅...,完结,第12话 ,https://www.dm5.com/manhua-shoubingweirenfengtie/
104,美国队长600系列,Marvel Comics ,https://mhfm5tel.cdndm5.com/11/10307/20190110113825_180x240_21.jpg,美国队长是漫威漫画前身——时代漫画（Timely Comics）中一...,完结,第640话 ,https://www.dm5.com/manhua-meiguoduichang-1968/
